ThickTR[Min:0.2 Max:0.6 Step:0.133333333333]
ThickTL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBR[Min:0.2 Max:0.6 Step:0.133333333333]
Fillet[Min:0.5 Max:2.5 Step:0.666666666667]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Material:	ThickTR:	ThickTL:	ThickBL:	ThickBR:	Fillet:	K_xy:	K_y:	K_theta:	mass:
Aluminum 2219	0.400	0.400	0.400	0.400	2.500	1101667072.000	1126858368.000	110504075264.000	440203.558
Aluminum 2219	0.400	0.400	0.400	0.600	0.500	1081268608.000	1101286272.000	108314664960.000	435596.202
Aluminum 2219	0.400	0.400	0.400	0.600	1.500	1121707392.000	1144067712.000	112371236864.000	438806.646
Aluminum 2219	0.400	0.400	0.400	0.600	2.500	1170665088.000	1198861568.000	117704179712.000	445227.533
Aluminum 2219	0.400	0.400	0.600	0.200	0.500	929213312.000	942857152.000	93130014720.000	430647.087
Aluminum 2219	0.400	0.400	0.600	0.200	1.500	956104832.000	972267200.000	95826526208.000	433857.530
Aluminum 2219	0.400	0.400	0.600	0.200	2.500	992282624.000	1010804032.000	99412426752.000	440278.417
Aluminum 2219	0.400	0.400	0.600	0.400	0.500	1098880384.000	1117593088.000	110101118976.000	435596.202
Aluminum 2219	0.400	0.400	0.600	0.400	1.500	1141366400.000	1163787520.000	114267815936.000	438806.646
Aluminum 2219	0.400	0.400	0.600	0.400	2.500	1183934592.000	1211013504.000	118811877376.000	445227.533
Aluminum 2219	0.400	0.400	0.600	0.600	0.500	1172953984.000	1196563456.000	117483053056.000	440601.477
Aluminum 2219	0.400	0.400	0.600	0.600	1.500	1215800064.000	1242348288.000	121777922048.000	443811.921
Aluminum 2219	0.400	0.400	0.600	0.600	2.500	1248693248.000	1279174784.000	125248626688.000	450232.808
Aluminum 2219	0.400	0.600	0.200	0.200	0.500	718507200.000	728807040.000	72068816896.000	425655.573
Aluminum 2219	0.400	0.600	0.200	0.200	1.500	738716352.000	751084672.000	74075987968.000	428866.016
Aluminum 2219	0.400	0.600	0.200	0.200	2.500	787357760.000	801639232.000	79003582464.000	435286.903
Aluminum 2219	0.400	0.600	0.200	0.400	0.500	923577920.000	938727296.000	92547350528.000	430642.089
Aluminum 2219	0.400	0.600	0.200	0.400	1.500	967297344.000	984864320.000	96923009024.000	433852.532
Aluminum 2219	0.400	0.600	0.200	0.400	2.500	1018053312.000	1038812032.000	102240051200.000	440273.419
Aluminum 2219	0.400	0.600	0.200	0.600	0.500	1064416448.000	1083181824.000	106930364416.000	435684.764
Aluminum 2219	0.400	0.600	0.200	0.600	1.500	1102168960.000	1123115776.000	110783602688.000	438895.207
Aluminum 2219	0.400	0.600	0.200	0.600	2.500	1165749888.000	1189655168.000	117298847744.000	445316.094
Aluminum 2219	0.400	0.600	0.400	0.200	0.500	872126016.000	885932096.000	87430807552.000	430623.389
Aluminum 2219	0.400	0.600	0.400	0.200	1.500	900860928.000	918574144.000	90275758080.000	433833.832
Aluminum 2219	0.400	0.600	0.400	0.200	2.500	944185152.000	962913600.000	94680211456.000	440254.719
Aluminum 2219	0.400	0.600	0.400	0.400	0.500	1082116864.000	1102575872.000	108488810496.000	435591.204
Aluminum 2219	0.400	0.600	0.400	0.400	1.500	1121340928.000	1145663104.000	112440459264.000	438801.648
Aluminum 2219	0.400	0.600	0.400	0.400	2.500	1173930496.000	1202088064.000	117764087808.000	445222.535
Aluminum 2219	0.400	0.600	0.400	0.600	0.500	1226286720.000	1252283264.000	123095719936.000	440615.179
Aluminum 2219	0.400	0.600	0.400	0.600	1.500	1268228608.000	1298429184.000	127361589248.000	443825.623
Aluminum 2219	0.400	0.600	0.400	0.600	2.500	1326865664.000	1362472192.000	133387001856.000	450246.510
Aluminum 2219	0.400	0.600	0.600	0.200	0.500	963128128.000	982725696.000	96731480064.000	435647.364
Aluminum 2219	0.400	0.600	0.600	0.200	1.500	996980928.000	1020344448.000	100160643072.000	438857.807
Aluminum 2219	0.400	0.600	0.600	0.200	2.500	1022179904.000	1047295424.000	102802366464.000	445278.694
Aluminum 2219	0.400	0.600	0.600	0.400	0.500	1169180544.000	1196435456.000	117403590656.000	440596.479
Aluminum 2219	0.400	0.600	0.600	0.400	1.500	1208720768.000	1239957248.000	121402687488.000	443806.923
Aluminum 2219	0.400	0.600	0.600	0.400	2.500	1267912576.000	1303261056.000	127398428672.000	450227.810
Aluminum 2219	0.400	0.600	0.600	0.600	0.500	1319140608.000	1350663808.000	132467392512.000	445601.754
Aluminum 2219	0.400	0.600	0.600	0.600	1.500	1362705280.000	1400636928.000	136912920576.000	448812.198
Aluminum 2219	0.400	0.600	0.600	0.600	2.500	1447686272.000	1493039616.000	145630347264.000	455233.085
Aluminum 2219	0.600	0.200	0.200	0.200	0.500	636589248.000	644421056.000	63853948928.000	420656.297
Aluminum 2219	0.600	0.200	0.200	0.200	1.500	654825280.000	665569536.000	65667239936.000	423866.740
Aluminum 2219	0.600	0.200	0.200	0.200	2.500	691259520.000	703416832.000	69346271232.000	430287.627
Aluminum 2219	0.600	0.200	0.200	0.400	0.500	727668032.000	740064640.000	72974106624.000	425624.113
Aluminum 2219	0.600	0.200	0.200	0.400	1.500	737639488.000	751626944.000	73895067648.000	428834.556
Aluminum 2219	0.600	0.200	0.200	0.400	2.500	769102272.000	783847744.000	77111615488.000	435255.443
Aluminum 2219	0.600	0.200	0.200	0.600	0.500	760384640.000	776440384.000	76492513280.000	430648.088
Aluminum 2219	0.600	0.200	0.200	0.600	1.500	783700224.000	802301440.000	78794104832.000	433858.531
Aluminum 2219	0.600	0.200	0.200	0.600	2.500	810008192.000	830721792.000	81506844672.000	440279.418
Aluminum 2219	0.600	0.200	0.400	0.200	0.500	851030592.000	864505088.000	85309693952.000	425661.513
Aluminum 2219	0.600	0.200	0.400	0.200	1.500	885116800.000	900443712.000	88774705152.000	428871.956
Aluminum 2219	0.600	0.200	0.400	0.200	2.500	919815232.000	936942848.000	92354412544.000	435292.843
Aluminum 2219	0.600	0.200	0.400	0.400	0.500	932712832.000	949468416.000	93479018496.000	430610.628
Aluminum 2219	0.600	0.200	0.400	0.400	1.500	969418304.000	988540224.000	97169833984.000	433821.072
Aluminum 2219	0.600	0.200	0.400	0.400	2.500	988837120.000	1010271552.000	99206168576.000	440241.959
Aluminum 2219	0.600	0.200	0.400	0.600	0.500	987583296.000	1009871552.000	99183403008.000	435615.903
Aluminum 2219	0.600	0.200	0.400	0.600	1.500	1026980096.000	1052808512.000	103181402112.000	438826.347
Aluminum 2219	0.600	0.200	0.400	0.600	2.500	1030396032.000	1058467712.000	103659896832.000	445247.234
Aluminum 2219	0.600	0.200	0.600	0.200	0.500	975178624.000	989575744.000	97992916992.000	430722.888
Aluminum 2219	0.600	0.200	0.600	0.200	1.500	1013948096.000	1031702336.000	101883084800.000	433933.331
Aluminum 2219	0.600	0.200	0.600	0.200	2.500	1055170432.000	1073973888.000	106152050688.000	440354.218
Aluminum 2219	0.600	0.200	0.600	0.400	0.500	1054219136.000	1074516608.000	105803284480.000	435653.303
Aluminum 2219	0.600	0.200	0.600	0.400	1.500	1090593920.000	1114046976.000	109505323008.000	438863.747
Aluminum 2219	0.600	0.200	0.600	0.400	2.500	1141837184.000	1167753856.000	114723790848.000	445284.634
Aluminum 2219	0.600	0.200	0.600	0.600	0.500	1113997440.000	1139653376.000	111958245376.000	440639.878
